index,price,highway-mpg,city-mpg,peak-rpm,horsepower,engine-size,num-of-cylinders,curb-weight,height,width,length,wheel-base,drive-wheels,body-style,num-of-doors,fuel-type,make
57,13645.0,23,17,6000.0,101.0,70,2,2385,49.6,65.7,169.0,95.3,rwd,hatchback,2.0,gas,mazda
58,15645.0,23,16,6000.0,135.0,80,2,2500,49.6,65.7,169.0,95.3,rwd,hatchback,2.0,gas,mazda
59,8845.0,32,26,4800.0,84.0,122,4,2385,53.7,66.5,177.8,98.8,fwd,hatchback,2.0,gas,mazda
60,8495.0,32,26,4800.0,84.0,122,4,2410,55.5,66.5,177.8,98.8,fwd,sedan,4.0,gas,mazda
61,10595.0,32,26,4800.0,84.0,122,4,2385,53.7,66.5,177.8,98.8,fwd,hatchback,2.0,gas,mazda
62,10245.0,32,26,4800.0,84.0,122,4,2410,55.5,66.5,177.8,98.8,fwd,sedan,4.0,gas,mazda
63,10795.0,42,36,4650.0,64.0,122,4,2443,55.5,66.5,177.8,98.8,fwd,sedan,,diesel,mazda
64,11245.0,32,26,4800.0,84.0,122,4,2425,55.5,66.5,177.8,98.8,fwd,hatchback,4.0,gas,mazda
65,18280.0,27,19,5000.0,120.0,140,4,2670,54.4,66.1,175.0,104.9,rwd,sedan,4.0,gas,mazda
66,18344.0,39,31,4200.0,72.0,134,4,2700,54.4,66.1,175.0,104.9,rwd,sedan,4.0,diesel,mazda
67,25552.0,25,22,4350.0,123.0,183,5,3515,56.5,70.3,190.9,110.0,rwd,sedan,4.0,diesel,mercedes-benz
68,28248.0,25,22,4350.0,123.0,183,5,3750,58.7,70.3,190.9,110.0,rwd,wagon,4.0,diesel,mercedes-benz
69,28176.0,25,22,4350.0,123.0,183,5,3495,54.9,70.3,187.5,106.7,rwd,hardtop,2.0,diesel,mercedes-benz
70,31600.0,25,22,4350.0,123.0,183,5,3770,56.3,71.7,202.6,115.6,rwd,sedan,4.0,diesel,mercedes-benz
71,34184.0,18,16,4750.0,155.0,234,8,3740,56.5,71.7,202.6,115.6,rwd,sedan,4.0,gas,mercedes-benz
72,35056.0,18,16,4750.0,155.0,234,8,3685,50.8,70.5,180.3,96.6,rwd,convertible,2.0,gas,mercedes-benz
73,40960.0,16,14,4500.0,184.0,308,8,3900,56.7,71.7,208.1,120.9,rwd,sedan,4.0,gas,mercedes-benz
74,45400.0,16,14,4500.0,184.0,304,8,3715,55.4,72.0,199.2,112.0,rwd,hardtop,2.0,gas,mercedes-benz
75,16503.0,24,19,5000.0,175.0,140,4,2910,54.8,68.0,178.4,102.7,rwd,hatchback,2.0,gas,mercury
76,5389.0,41,37,5500.0,68.0,92,4,1918,50.8,64.4,157.3,93.7,fwd,hatchback,2.0,gas,mitsubishi
77,6189.0,38,31,5500.0,68.0,92,4,1944,50.8,64.4,157.3,93.7,fwd,hatchback,2.0,gas,mitsubishi
78,6669.0,38,31,5500.0,68.0,92,4,2004,50.8,64.4,157.3,93.7,fwd,hatchback,2.0,gas,mitsubishi
79,7689.0,30,24,5500.0,102.0,98,4,2145,50.8,63.8,157.3,93.0,fwd,hatchback,2.0,gas,mitsubishi
80,9959.0,30,23,5500.0,116.0,110,4,2370,49.4,65.4,173.0,96.3,fwd,hatchback,2.0,gas,mitsubishi
81,8499.0,32,25,5000.0,88.0,122,4,2328,49.4,65.4,173.0,96.3,fwd,hatchback,2.0,gas,mitsubishi
82,12629.0,24,19,5000.0,145.0,156,4,2833,50.2,66.3,173.2,95.9,fwd,hatchback,2.0,gas,mitsubishi
83,14869.0,24,19,5000.0,145.0,156,4,2921,50.2,66.3,173.2,95.9,fwd,hatchback,2.0,gas,mitsubishi
84,14489.0,24,19,5000.0,145.0,156,4,2926,50.2,66.3,173.2,95.9,fwd,hatchback,2.0,gas,mitsubishi
85,6989.0,32,25,5000.0,88.0,122,4,2365,51.6,65.4,172.4,96.3,fwd,sedan,4.0,gas,mitsubishi
86,8189.0,32,25,5000.0,88.0,122,4,2405,51.6,65.4,172.4,96.3,fwd,sedan,4.0,gas,mitsubishi
87,9279.0,30,23,5500.0,116.0,110,4,2403,51.6,65.4,172.4,96.3,fwd,sedan,4.0,gas,mitsubishi
88,9279.0,30,23,5500.0,116.0,110,4,2403,51.6,65.4,172.4,96.3,fwd,sedan,4.0,gas,mitsubishi
89,5499.0,37,31,5200.0,69.0,97,4,1889,54.5,63.8,165.3,94.5,fwd,sedan,2.0,gas,nissan
90,7099.0,50,45,4800.0,55.0,103,4,2017,54.5,63.8,165.3,94.5,fwd,sedan,2.0,diesel,nissan
91,6649.0,37,31,5200.0,69.0,97,4,1918,54.5,63.8,165.3,94.5,fwd,sedan,2.0,gas,nissan
92,6849.0,37,31,5200.0,69.0,97,4,1938,54.5,63.8,165.3,94.5,fwd,sedan,4.0,gas,nissan
93,7349.0,37,31,5200.0,69.0,97,4,2024,53.5,63.8,170.2,94.5,fwd,wagon,4.0,gas,nissan
94,7299.0,37,31,5200.0,69.0,97,4,1951,54.5,63.8,165.3,94.5,fwd,sedan,2.0,gas,nissan
95,7799.0,37,31,5200.0,69.0,97,4,2028,53.3,63.8,165.6,94.5,fwd,hatchback,2.0,gas,nissan
96,7499.0,37,31,5200.0,69.0,97,4,1971,54.5,63.8,165.3,94.5,fwd,sedan,4.0,gas,nissan
97,7999.0,37,31,5200.0,69.0,97,4,2037,53.5,63.8,170.2,94.5,fwd,wagon,4.0,gas,nissan
98,8249.0,37,31,5200.0,69.0,97,4,2008,53.3,63.8,162.4,95.1,fwd,hardtop,2.0,gas,nissan
99,8949.0,34,27,5200.0,97.0,120,4,2324,54.7,65.2,173.4,97.2,fwd,hatchback,4.0,gas,nissan
100,9549.0,34,27,5200.0,97.0,120,4,2302,54.7,65.2,173.4,97.2,fwd,sedan,4.0,gas,nissan
101,13499.0,22,17,5200.0,152.0,181,6,3095,55.1,66.5,181.7,100.4,fwd,sedan,4.0,gas,nissan
102,14399.0,22,17,5200.0,152.0,181,6,3296,56.1,66.5,184.6,100.4,fwd,wagon,4.0,gas,nissan
103,13499.0,25,19,5200.0,152.0,181,6,3060,55.1,66.5,184.6,100.4,fwd,sedan,4.0,gas,nissan
104,17199.0,25,19,5200.0,160.0,181,6,3071,49.7,67.9,170.7,91.3,rwd,hatchback,2.0,gas,nissan
105,19699.0,23,17,5200.0,200.0,181,6,3139,49.7,67.9,170.7,91.3,rwd,hatchback,2.0,gas,nissan
106,18399.0,25,19,5200.0,160.0,181,6,3139,49.7,67.9,178.5,99.2,rwd,hatchback,2.0,gas,nissan
107,11900.0,24,19,5000.0,97.0,120,4,3020,56.7,68.4,186.7,107.9,rwd,sedan,4.0,gas,peugot
108,13200.0,33,28,4150.0,95.0,152,4,3197,56.7,68.4,186.7,107.9,rwd,sedan,4.0,diesel,peugot
109,12440.0,24,19,5000.0,97.0,120,4,3230,58.7,68.4,198.9,114.2,rwd,wagon,4.0,gas,peugot
110,13860.0,25,25,4150.0,95.0,152,4,3430,58.7,68.4,198.9,114.2,rwd,wagon,4.0,diesel,peugot
111,15580.0,24,19,5000.0,95.0,120,4,3075,56.7,68.4,186.7,107.9,rwd,sedan,4.0,gas,peugot
112,16900.0,33,28,4150.0,95.0,152,4,3252,56.7,68.4,186.7,107.9,rwd,sedan,4.0,diesel,peugot
113,16695.0,24,19,5000.0,95.0,120,4,3285,56.7,68.4,198.9,114.2,rwd,wagon,4.0,gas,peugot
114,17075.0,25,25,4150.0,95.0,152,4,3485,58.7,68.4,198.9,114.2,rwd,wagon,4.0,diesel,peugot
115,16630.0,24,19,5000.0,97.0,120,4,3075,56.7,68.4,186.7,107.9,rwd,sedan,4.0,gas,peugot
116,17950.0,33,28,4150.0,95.0,152,4,3252,56.7,68.4,186.7,107.9,rwd,sedan,4.0,diesel,peugot
117,18150.0,24,18,5600.0,142.0,134,4,3130,56.0,68.3,186.7,108.0,rwd,sedan,4.0,gas,peugot
118,5572.0,41,37,5500.0,68.0,90,4,1918,50.8,63.8,157.3,93.7,fwd,hatchback,2.0,gas,plymouth
119,7957.0,30,24,5500.0,102.0,98,4,2128,50.8,63.8,157.3,93.7,fwd,hatchback,2.0,gas,plymouth
120,6229.0,38,31,5500.0,68.0,90,4,1967,50.6,63.8,157.3,93.7,fwd,hatchback,4.0,gas,plymouth
121,6692.0,38,31,5500.0,68.0,90,4,1989,50.8,63.8,167.3,93.7,fwd,sedan,4.0,gas,plymouth
122,7609.0,38,31,5500.0,68.0,98,4,2191,50.8,63.8,167.3,93.7,fwd,sedan,4.0,gas,plymouth
123,8921.0,30,24,5000.0,88.0,122,4,2535,59.8,64.6,174.6,103.3,fwd,wagon,4.0,gas,plymouth
124,12764.0,24,19,5000.0,145.0,156,4,2818,50.2,66.3,173.2,95.9,rwd,hatchback,2.0,gas,plymouth
125,22018.0,27,19,5500.0,143.0,151,4,2778,50.2,68.3,168.9,94.5,rwd,hatchback,2.0,gas,porsche
126,32528.0,25,17,5900.0,207.0,194,6,2756,51.6,65.0,168.9,89.5,rwd,hardtop,2.0,gas,porsche
127,34028.0,25,17,5900.0,207.0,194,6,2756,51.6,65.0,168.9,89.5,rwd,hardtop,2.0,gas,porsche
128,37028.0,25,17,5900.0,207.0,194,6,2800,51.6,65.0,168.9,89.5,rwd,convertible,2.0,gas,porsche
129,,28,17,5750.0,288.0,203,8,3366,50.5,72.3,175.7,98.4,rwd,hatchback,2.0,gas,porsche
130,9295.0,31,23,,,132,4,2579,55.2,66.5,181.5,96.1,fwd,wagon,4.0,gas,renault
131,9895.0,31,23,,,132,4,2460,50.5,66.6,176.8,96.1,fwd,hatchback,2.0,gas,renault
132,11850.0,28,21,5250.0,110.0,121,4,2658,56.1,66.5,186.6,99.1,fwd,hatchback,2.0,gas,saab
133,12170.0,28,21,5250.0,110.0,121,4,2695,56.1,66.5,186.6,99.1,fwd,sedan,4.0,gas,saab
134,15040.0,28,21,5250.0,110.0,121,4,2707,56.1,66.5,186.6,99.1,fwd,hatchback,2.0,gas,saab
135,15510.0,28,21,5250.0,110.0,121,4,2758,56.1,66.5,186.6,99.1,fwd,sedan,4.0,gas,saab
136,18150.0,26,19,5500.0,160.0,121,4,2808,56.1,66.5,186.6,99.1,fwd,hatchback,2.0,gas,saab
137,18620.0,26,19,5500.0,160.0,121,4,2847,56.1,66.5,186.6,99.1,fwd,sedan,4.0,gas,saab
138,5118.0,36,31,4900.0,69.0,97,4,2050,53.7,63.4,156.9,93.7,fwd,hatchback,2.0,gas,subaru
139,7053.0,31,26,4400.0,73.0,108,4,2120,53.7,63.6,157.9,93.7,fwd,hatchback,2.0,gas,subaru
140,7603.0,31,26,4400.0,73.0,108,4,2240,55.7,63.8,157.3,93.3,4wd,hatchback,2.0,gas,subaru
141,7126.0,37,32,4800.0,82.0,108,4,2145,52.5,65.4,172.0,97.2,fwd,sedan,4.0,gas,subaru
142,7775.0,33,28,4400.0,82.0,108,4,2190,52.5,65.4,172.0,97.2,fwd,sedan,4.0,gas,subaru
143,9960.0,32,26,5200.0,94.0,108,4,2340,52.5,65.4,172.0,97.2,fwd,sedan,4.0,gas,subaru
144,9233.0,25,24,4800.0,82.0,108,4,2385,54.3,65.4,172.0,97.0,4wd,sedan,4.0,gas,subaru
145,11259.0,29,24,4800.0,111.0,108,4,2510,54.3,65.4,172.0,97.0,4wd,sedan,4.0,gas,subaru
146,7463.0,32,28,4800.0,82.0,108,4,2290,53.0,65.4,173.5,97.0,fwd,wagon,4.0,gas,subaru
147,10198.0,31,25,5200.0,94.0,108,4,2455,53.0,65.4,173.5,97.0,fwd,wagon,4.0,gas,subaru
148,8013.0,29,23,4800.0,82.0,108,4,2420,54.9,65.4,173.6,96.9,4wd,wagon,4.0,gas,subaru
149,11694.0,23,23,4800.0,111.0,108,4,2650,54.9,65.4,173.6,96.9,4wd,wagon,4.0,gas,subaru
150,5348.0,39,35,4800.0,62.0,92,4,1985,54.5,63.6,158.7,95.7,fwd,hatchback,2.0,gas,toyota
151,6338.0,38,31,4800.0,62.0,92,4,2040,54.5,63.6,158.7,95.7,fwd,hatchback,2.0,gas,toyota
152,6488.0,38,31,4800.0,62.0,92,4,2015,54.5,63.6,158.7,95.7,fwd,hatchback,4.0,gas,toyota
153,6918.0,37,31,4800.0,62.0,92,4,2280,59.1,63.6,169.7,95.7,fwd,wagon,4.0,gas,toyota
154,7898.0,32,27,4800.0,62.0,92,4,2290,59.1,63.6,169.7,95.7,4wd,wagon,4.0,gas,toyota
155,8778.0,32,27,4800.0,62.0,92,4,3110,59.1,63.6,169.7,95.7,4wd,wagon,4.0,gas,toyota
156,6938.0,37,30,4800.0,70.0,98,4,2081,53.0,64.4,166.3,95.7,fwd,sedan,4.0,gas,toyota
157,7198.0,37,30,4800.0,70.0,98,4,2109,52.8,64.4,166.3,95.7,fwd,hatchback,4.0,gas,toyota
158,7898.0,36,34,4500.0,56.0,110,4,2275,53.0,64.4,166.3,95.7,fwd,sedan,4.0,diesel,toyota
159,7788.0,47,38,4500.0,56.0,110,4,2275,52.8,64.4,166.3,95.7,fwd,hatchback,4.0,diesel,toyota
160,7738.0,47,38,4800.0,70.0,98,4,2094,53.0,64.4,166.3,95.7,fwd,sedan,4.0,gas,toyota
161,8358.0,34,28,4800.0,70.0,98,4,2122,52.8,64.4,166.3,95.7,fwd,hatchback,4.0,gas,toyota
162,9258.0,34,28,4800.0,70.0,98,4,2140,52.8,64.4,166.3,95.7,fwd,sedan,4.0,gas,toyota
163,8058.0,34,29,4800.0,70.0,98,4,2169,52.6,64.0,168.7,94.5,rwd,sedan,2.0,gas,toyota
164,8238.0,34,29,4800.0,70.0,98,4,2204,52.6,64.0,168.7,94.5,rwd,hatchback,2.0,gas,toyota
165,9298.0,29,26,6600.0,112.0,98,4,2265,52.6,64.0,168.7,94.5,rwd,sedan,2.0,gas,toyota
166,9538.0,29,26,6600.0,112.0,98,4,2300,52.6,64.0,168.7,94.5,rwd,hatchback,2.0,gas,toyota
167,8449.0,30,24,4800.0,116.0,146,4,2540,52.0,65.6,176.2,98.4,rwd,hardtop,2.0,gas,toyota
168,9639.0,30,24,4800.0,116.0,146,4,2536,52.0,65.6,176.2,98.4,rwd,hardtop,2.0,gas,toyota
169,9989.0,30,24,4800.0,116.0,146,4,2551,52.0,65.6,176.2,98.4,rwd,hatchback,2.0,gas,toyota
170,11199.0,30,24,4800.0,116.0,146,4,2679,52.0,65.6,176.2,98.4,rwd,hardtop,2.0,gas,toyota
171,11549.0,30,24,4800.0,116.0,146,4,2714,52.0,65.6,176.2,98.4,rwd,hatchback,2.0,gas,toyota
172,17669.0,30,24,4800.0,116.0,146,4,2975,53.0,65.6,176.2,98.4,rwd,convertible,2.0,gas,toyota
173,8948.0,34,29,4200.0,92.0,122,4,2326,54.9,66.5,175.6,102.4,fwd,sedan,4.0,gas,toyota
174,10698.0,33,30,4500.0,73.0,110,4,2480,54.9,66.5,175.6,102.4,fwd,sedan,4.0,diesel,toyota
175,9988.0,32,27,4200.0,92.0,122,4,2414,53.9,66.5,175.6,102.4,fwd,hatchback,4.0,gas,toyota
176,10898.0,32,27,4200.0,92.0,122,4,2414,54.9,66.5,175.6,102.4,fwd,sedan,4.0,gas,toyota
177,11248.0,32,27,4200.0,92.0,122,4,2458,53.9,66.5,175.6,102.4,fwd,hatchback,4.0,gas,toyota
178,16558.0,24,20,5200.0,161.0,171,6,2976,52.0,67.7,183.5,102.9,rwd,hatchback,2.0,gas,toyota
179,15998.0,24,19,5200.0,161.0,171,6,3016,52.0,67.7,183.5,102.9,rwd,hatchback,2.0,gas,toyota
180,15690.0,24,20,5200.0,156.0,171,6,3131,54.1,66.5,187.8,104.5,rwd,sedan,4.0,gas,toyota
181,15750.0,24,19,5200.0,156.0,161,6,3151,54.1,66.5,187.8,104.5,rwd,wagon,4.0,gas,toyota
182,7775.0,46,37,4800.0,52.0,97,4,2261,55.7,65.5,171.7,97.3,fwd,sedan,2.0,diesel,volkswagen
183,7975.0,34,27,5250.0,85.0,109,4,2209,55.7,65.5,171.7,97.3,fwd,sedan,2.0,gas,volkswagen
184,7995.0,46,37,4800.0,52.0,97,4,2264,55.7,65.5,171.7,97.3,fwd,sedan,4.0,diesel,volkswagen
185,8195.0,34,27,5250.0,85.0,109,4,2212,55.7,65.5,171.7,97.3,fwd,sedan,4.0,gas,volkswagen
186,8495.0,34,27,5250.0,85.0,109,4,2275,55.7,65.5,171.7,97.3,fwd,sedan,4.0,gas,volkswagen
187,9495.0,42,37,4500.0,68.0,97,4,2319,55.7,65.5,171.7,97.3,fwd,sedan,4.0,diesel,volkswagen
188,9995.0,32,26,5500.0,100.0,109,4,2300,55.7,65.5,171.7,97.3,fwd,sedan,4.0,gas,volkswagen
189,11595.0,29,24,5500.0,90.0,109,4,2254,55.6,64.2,159.3,94.5,fwd,convertible,2.0,gas,volkswagen
190,9980.0,29,24,5500.0,90.0,109,4,2221,51.4,64.0,165.7,94.5,fwd,hatchback,2.0,gas,volkswagen
191,13295.0,24,19,5500.0,110.0,136,5,2661,55.1,66.9,180.2,100.4,fwd,sedan,4.0,gas,volkswagen
192,13845.0,38,33,4500.0,68.0,97,4,2579,55.1,66.9,180.2,100.4,fwd,sedan,4.0,diesel,volkswagen
193,12290.0,31,25,5500.0,88.0,109,4,2563,55.1,66.9,183.1,100.4,fwd,wagon,4.0,gas,volkswagen
194,12940.0,28,23,5400.0,114.0,141,4,2912,56.2,67.2,188.8,104.3,rwd,sedan,4.0,gas,volvo
195,13415.0,28,23,5400.0,114.0,141,4,3034,57.5,67.2,188.8,104.3,rwd,wagon,4.0,gas,volvo
196,15985.0,28,24,5400.0,114.0,141,4,2935,56.2,67.2,188.8,104.3,rwd,sedan,4.0,gas,volvo
197,16515.0,28,24,5400.0,114.0,141,4,3042,57.5,67.2,188.8,104.3,rwd,wagon,4.0,gas,volvo
198,18420.0,22,17,5100.0,162.0,130,4,3045,56.2,67.2,188.8,104.3,rwd,sedan,4.0,gas,volvo
199,18950.0,22,17,5100.0,162.0,130,4,3157,57.5,67.2,188.8,104.3,rwd,wagon,4.0,gas,volvo
200,16845.0,28,23,5400.0,114.0,141,4,2952,55.5,68.9,188.8,109.1,rwd,sedan,4.0,gas,volvo
201,19045.0,25,19,5300.0,160.0,141,4,3049,55.5,68.8,188.8,109.1,rwd,sedan,4.0,gas,volvo
202,21485.0,23,18,5500.0,134.0,173,6,3012,55.5,68.9,188.8,109.1,rwd,sedan,4.0,gas,volvo
203,22470.0,27,26,4800.0,106.0,145,6,3217,55.5,68.9,188.8,109.1,rwd,sedan,4.0,diesel,volvo
204,22625.0,25,19,5400.0,114.0,141,4,3062,55.5,68.9,188.8,109.1,rwd,sedan,4.0,gas,volvo
